generation,cell,birth,white (end),green (end),round (start),cell division,cell death,cell lost,überlebt,TRAIL,video end,
0,1,79,105,,,,134,,,124,201,"V33.1 c, Scene 4"
0,2,79,99,,,,144,,,124,201,
0,3,81,103,,,,139,,,124,201,
0,7,81,113,,,,138,,,124,201,
0,8,60,82,,,,129,,,124,201,
0,14,57,79,133,,,135,,,124,201,
0,17,79,104,157,157,157,,,1,124,201,
1,17.1,157,,,,,,,1,124,201,
1,17.2,157,,,,,,,1,124,201,
0,18,85,122,,,,138,,,124,201,
0,20,83,123,186,,,,,1,124,201,
0,21,61,91,126,126,126,,,1,124,201,
1,21.1,126,,,,,,,1,124,201,
1,21.2,126,,,,,,,1,124,201,
0,23,66,89,125,125,125,,,1,124,201,
1,23.1,125,,,,,,,1,124,201,
1,23.2,125,,,,,,,1,124,201,
0,26,66,107,161,161,161,,,,124,201,
1,26.1,161,,,,,162,,,124,201,
1,26.2,161,,,,,182,,,124,201,
0,27,66,105,155,155,155,,,,124,201,
1,27.1,155,,,,,181,,,124,201,
1,27.2,155,,,,,184,,,124,201,
0,28,69,96,,,,131,,,124,201,
0,29,81,123,,,,,,1,124,201,
0,31,66,95,180,,,,,1,124,201,
0,32,69,98,143,143,143,,,,124,201,
1,32.1,143,,,,,144,,,124,201,
1,32.2,143,,,,,144,,,124,201,
0,35,62,99,,,,148,,,124,201,
0,37,71,102,147,147,147,,,1,124,201,
1,37.1,147,,,,,,,1,124,201,
1,37.2,147,,,,,,,1,124,201,
0,40,76,100,,,,136,,,124,201,
0,43,83,113,,,,135,,,124,201,
0,45,82,123,,,,,,1,124,201,
0,49,92,116,,,,,,1,124,201,
0,58,67,83,134,134,134,,,1,124,201,"V33.1 c, Scene 6"
1,58.1,134,,,,,,,1,124,201,
1,58.2,134,,,,,,,1,124,201,
0,60,62,84,125,125,125,,,1,124,201,
1,60.1,125,,,,,,,1,124,201,
1,60.1,125,,,,,,,1,124,201,
0,61,66,87,136,136,136,,,1,124,201,
1,61.1,136,,,,,,,1,124,201,
1,61.2,136,,,,,,,1,124,201,
0,62,66,90,128,128,128,,,1,124,201,
1,62.1,128,,,,,,,1,124,201,
1,62.2,128,,,,,,,1,124,201,
0,63,70,105,151,151,151,,,,124,201,
1,63.1,151,,,,,163,,,124,201,
1,63.1,151,,,,,169,,,124,201,
0,66,67,85,128,128,128,,,,124,201,
1,66.1,128,,,,,139,,,124,201,
1,66.2,128,,,,,142,,,124,201,
0,67,70,99,157,157,157,,,1,124,201,
1,67.1,157,,,,,,,1,124,201,
1,67.2,157,,,,,,,1,124,201,
0,83,58,87,125,125,125,,,1,124,201,
1,83.1,125,,,,,,,1,124,201,
1,83.2,125,,,,,,,1,124,201,
0,90,52,81,125,125,125,,,,124,201,
1,90.1,125,,,,,141,,,124,201,
1,90.1,125,,,,,141,,,124,201,
0,91,89,118,,,,136,,,124,201,
0,92,95,120,,,,140,,,124,201,
0,97,97,121,178,178,178,,,1,124,201,
1,97.1,178,,,,,,,1,124,201,
1,97.2,178,,,,,,,1,124,201,
0,100,77,108,,,,131,,,124,201,
0,101,79,108,158,158,158,,,,124,201,
1,101.1,158,,,,,163,,,124,201,
1,101.2,158,,,,,163,,,124,201,
0,102,84,107,159,159,159,,,1,124,201,
1,102.1,159,,,,,,,1,124,201,
1,102.2,159,,,,,,,1,124,201,
0,104,82,104,137,137,137,,,1,124,201,
1,104.1,137,,,,,,,1,124,201,
1,104.2,137,,,,,,,1,124,201,
0,107,70,94,131,131,131,,,1,124,201,
1,107.1,131,,,,,,,1,124,201,
1,107.2,131,,,,,,,1,124,201,
0,112,81,111,173,173,173,,,1,124,201,
1,112.1,173,,,,,,,1,124,201,
1,112.2,173,,,,,,,1,124,201,
0,116,80,109,,,,152,,,124,201,"V33.1 c, Scene 5"
0,117,73,97,135,135,135,,,,124,201,
1,117.1,135,,,,,138,,,124,201,
1,117.2,135,,,,,138,,,124,201,
0,118,82,105,,,,144,,,124,201,
0,119,86,114,,,,135,,,124,201,
0,120,86,115,,,,,,1,124,201,
0,124,76,109,185,185,185,,,1,124,201,
1,124.1,185,,,,,,,1,124,201,
