generation,cell,birth,white (end),green (end),round (start),cell division,cell death,cell lost,überlebt,TRAIL,video end,
0,4,91,124,,,,136,,,124,201,"V33.1 c, Scene 4"
0,5,91,124,,,,140,,,124,201,
0,6,93,,,,,131,,,124,201,
0,9,57,,,,,,,1,124,201,
0,10,99,,,,,136,,,124,201,
0,11,101,,,,,133,,,124,201,
0,12,104,,,,,131,,,124,201,
0,13,99,,,,,132,,,124,201,
0,15,103,147,,,,,,1,124,201,
0,16,85,125,,,,137,,,124,201,
0,19,85,126,176,176,176,,,1,124,201,
1,19.1,176,,,,,,,1,124,201,
1,19.2,176,,,,,,,1,124,201,
0,22,120,,,,,,,1,124,201,
0,24,116,,,,,138,,,124,201,
0,25,120,,,,,,,1,124,201,
0,30,121,,,,,135,,,124,201,
0,33,96,,,,,137,,,124,201,
0,34,96,,,,,137,,,124,201,
0,36,106,140,,,,,,1,124,201,
0,38,111,,,,,133,,,124,201,
0,39,87,128,,,,,,1,124,201,
0,41,116,163,,,,,,1,124,201,
0,42,116,,,,,,,1,124,201,
0,44,120,,,,,140,,,124,201,
0,46,87,127,,,,,,1,124,201,
0,47,121,,,,,131,,,124,201,
0,48,121,,,,,139,,,124,201,
0,50,121,,,,,139,,,124,201,
0,51,42,,,,,157,,,124,201,"V33.1 c, Scene 6"
0,52,114,,,,,,,1,124,201,
0,53,99,,,,,,,1,124,201,
0,54,111,,,,,,,1,124,201,
0,55,102,158,,,,,,1,124,201,
0,56,102,,,,,137,,,124,201,
0,57,102,135,199,199,199,,,1,124,201,
0,59,68,,,,,147,,,124,201,
0,64,121,,,,,145,,,124,201,
0,68,99,,,,,140,,,124,201,
0,69,97,127,,,,135,,,124,201,
0,70,116,,,,,138,,,124,201,
0,71,112,,,,,135,,,124,201,
0,72,124,,,,,138,,,124,201,
0,73,109,,,,,134,,,124,201,
0,74,76,142,200,200,200,,,1,124,201,
0,75,121,,,,,135,,,124,201,
0,76,121,,,,,134,,,124,201,
0,77,113,,,,,142,,,124,201,
0,78,113,176,,,,,,1,124,201,
0,79,102,,,,,133,,,124,201,
0,80,102,143,,,,,,1,124,201,
0,81,120,,,,,,,1,124,201,
0,82,120,,,,,,,1,124,201,
0,85,102,,,,,144,,,124,201,
0,86,104,135,,,,141,,,124,201,
0,87,104,137,,,,,,1,124,201,
0,88,100,,,,,139,,,124,201,
0,89,121,,,,,134,,,124,201,
0,93,101,,,,,134,,,124,201,
0,94,96,,,,,136,,,124,201,
0,95,109,,,,,137,,,124,201,
0,96,110,,,,,132,,,124,201,
0,103,96,131,,,,133,,,124,201,
0,105,122,,,,,143,,,124,201,
0,106,104,,,,,132,,,124,201,
0,108,99,,,,,,,1,124,201,
0,109,106,,,,,132,,,124,201,
0,110,105,161,,,,,,1,124,201,
0,111,113,,,,,134,,,124,201,
0,113,89,,,,,143,,,124,201,
0,115,87,127,,,,170,,,124,201,
0,121,90,132,,,,,,1,124,201,"V33.1 c, Scene 5"
0,122,77,124,,,,,,1,124,201,
0,123,96,135,,,,143,,,124,201,
0,126,102,133,,,,135,,,124,201,
0,127,114,,,,,146,,,124,201,
0,128,102,,,,,134,,,124,201,
0,132,75,,,,,137,,,124,201,
0,133,107,,,,,135,,,124,201,
0,136,99,131,,,,133,,,124,201,
0,141,107,,,,,,,1,124,201,
0,142,107,,,,,141,,,124,201,
0,143,111,,,,,144,,,124,201,
0,144,39,,,,,,,1,124,201,
0,145,103,,,,,135,,,124,201,
0,148,35,,,,,162,,,124,201,
0,149,90,131,,,,,,1,124,201,
0,150,35,,,,,149,,,124,201,
0,152,123,,,,,136,,,124,201,
0,153,115,,,,,140,,,124,201,
0,154,116,,,,,131,,,124,201,
0,155,109,,,,,138,,,124,201,
0,156,106,153,,,,,,1,124,201,
0,160,86,128,,,,131,,,124,201,
0,173,36,82,149,149,149,,,1,79,181,V26.6 a) Scene 8
