generation,cell,birth,white (end),green (end),round (start),cell division,cell death,cell lost,überlebt,TRAIL,video end,,
0,24,65,86,,,,86,,,72,180,V28.8c,2
0,25,71,101,,,,101,,,72,180,,
0,26,71,97,,178,,,,1,72,180,,
0,27,58,80,,151,158,,,1,72,180,,
1,27.1,158,,,,,,,1,72,180,,
1,27.2,158,,,,,,,1,72,180,,
0,28,55,,,,,79,,,72,180,,6
0,29,53,,,,,85,,,72,180,,
0,30,67,102,,140,143,,,1,72,180,,
1,30.1,143,,,,,,,1,72,180,,
1,30.2,143,,,,,,,1,72,180,,
0,31,65,,,,,93,,,72,180,,
0,32,66,92,,,,118,,,72,180,,
0,33,63,92,,,,117,,,72,180,,
0,34,63,91,,135,147,,,0.5,72,180,,
1,34.1,147,,,,,160,,,72,180,,
1,34.2,147,,,,,,,1,72,180,,
0,35,49,74,,137,142,,,0,72,180,,
1,35.1,142,,,,,170,,0,72,180,,
1,35.2,142,,,,,170,,0,72,180,,
0,36,51,85,,128,133,,,1,72,180,,
1,36.1,133,172,,,,,,1,72,180,,
1,36.2,133,178,,,,,,1,72,180,,
0,37,51,82,,,,88,,,72,180,,
0,38,69,,,,,82,,,72,180,,5
0,39,59,88,,,,91,,,72,180,,
0,41,39,92,,175,,,,1,72,180,,
0,42,67,100,,145,149,,,1,72,180,,
1,42.1,149,,,,,,,1,72,180,,
1,42.2,149,,,,,,,1,72,180,,
0,43,66,,,,,86,,,72,180,,
0,44,72,100,,157,162,,,1,72,180,,4
1,44.1,162,,,,,,,1,72,180,,
1,44.2,162,,,,,,,1,72,180,,
0,45,53,86,,133,137,,,0.5,72,180,,
1,45.1,137,,,,,146,,,72,180,,
1,45.2,137,,,,,,,1,72,180,,
0,46,64,,,,,92,,,72,180,,
0,47,53,90,,,,92,,,72,180,,
0,48,58,83,,,,92,,,72,180,,3
0,49,59,82,,128,131,,,1,72,180,,
1,49.1,131,,,,,,,1,72,180,,
1,49.2,131,,,,,,,1,72,180,,
0,50,50,82,,,,105,,,72,180,,
0,51,78,104,155,152,155,,,1,94,192,V28.8d,7
1,51.1,155,190,,,,,,1,94,192,,
1,51.2,155,,,,,,,1,94,192,,
0,52,90,105,111,,,111,,,94,192,,
0,53,90,105,,148,152,,,5,94,192,,
1,53.1,152,,,,,,160,5,94,192,,
1,53.2,152,,,,,,160,5,94,192,,
0,54,79,,,,,108,,,94,192,,
0,55,90,160,,,,,,1,94,192,,
0,56,63,95,,,,129,,,94,192,,8
0,57,86,,,,,108,,,94,192,,
0,58,86,107,,,,111,,,94,192,,
0,62,53,,,,,128,,,94,192,,10
0,63,93,,,,,113,,,94,192,,
0,64,69,98,,,,,,1,94,192,,
0,65,76,115,,168,170,,,0.5,94,192,,
1,65.1,170,,,,,175,,,94,192,,
1,65.2,170,,,,,,,1,94,192,,
0,66,84,110,,,,111,,,94,192,,11
0,67,81,106,,148,151,,,,94,192,,
1,67.1,151,,,,,170,,,94,192,,
1,67.2,151,,,,,171,,,94,192,,
0,68,78,105,,148,151,,,,94,192,,
1,68.1,151,,,,,152,,,94,192,,
1,68.2,151,,,,,152,,,94,192,,
0,69,73,97,,,,106,,,94,192,,
0,70,84,106,,,,110,,,94,192,,
0,71,66,97,,153,155,,,1,94,192,,
1,71.1,155,,,,,,,1,94,192,,
1,71.2,155,,,,,,,1,94,192,,
0,72,84,130,,,,147,,,94,192,,12
0,73,72,110,,188,191,,,1,94,192,,
1,73.1,191,,,,,,,1,94,192,,
1,73.2,191,,,,,,,1,94,192,,
0,74,92,127,,169,172,,,1,94,192,,
1,74.1,172,,,,,,,1,94,192,,
1,74.2,172,,,,,,,1,94,192,,
0,75,66,98,,164,169,,,1,94,192,,
1,75.1,169,,,,,,,1,94,192,,
1,75.2,169,,,,,,,1,94,192,,
0,76,80,,,,,115,,,94,192,,
0,77,46,,,,,135,,,94,192,,
0,78,46,97,,,,105,,,94,192,,
0,79,83,,,,,116,,,94,192,,
0,80,84,118,,181,185,,,,94,192,,
1,80.1,185,,,,,186,,,94,192,,
1,80.2,185,,,,,186,,,94,192,,
0,81,83,105,,,,141,,,94,192,,11
0,118,70,101,,,,129,,,74,193,28.8 m,11
0,119,70,108,150,150,150,,,,74,193,,
1,119.1,150,,,,,161,,,74,193,,
1,119.2,150,,,,,165,,,74,193,,
0,120,60,94,138,138,138,,,1,74,193,,
1,120.1,138,179,,,,,,1,74,193,,
1,120.2,138,179,,,,,,1,74,193,,
0,121,60,92,142,142,142,,,,74,193,,
1,121.1,142,,,,,163,,,74,193,,
1,121.2,142,,,,,161,,,74,193,,
0,122,57,86,129,129,129,,,0.5,74,193,,
1,122.1,129,150,,,,,,1,74,193,,
1,122.2,129,150,,,,163,,,74,193,,
0,123,57,78,122,122,122,,,0.5,74,193,,
1,123.1,122,146,,,,148,,,74,193,,
1,123.2,122,153,,,,,,1,74,193,,
0,124,63,102,,,,136,,,74,193,,
0,125,53,86,127,127,127,,,,74,193,,
1,125.1,127,,,,,146,,,74,193,,
1,125.2,127,,,,,147,,,74,193,,
0,126,52,87,131,131,131,,,,74,193,,
1,126.1,131,,,,,134,,,74,193,,
1,126.2,131,,,,,134,,,74,193,,
0,127,50,77,119,119,119,,,1,74,193,,
1,127.1,119,147,,,,,,1,74,193,,
1,127.2,119,146,,,,,,1,74,193,,
0,148,73,101,,,,102,,,74,193,28.8 m,12
0,149,73,97,,,,103,,,74,193,,
0,150,73,,,,,99,,,74,193,,
0,151,73,89,,,,90,,,74,193,,
0,152,73,93,,,,94,,,74,193,,
0,153,36,116,190,190,190,,,1,74,193,,
1,153.1,190,,,,,,,1,74,193,,
1,153.2,190,,,,,,,1,74,193,,
0,154,58,100,162,162,162,,,,74,193,,
1,154.1,162,,,,,166,,,74,193,,
1,154.2,162,,,,,166,,,74,193,,
0,155,58,97,142,142,142,,,,74,193,,
1,155.1,142,,,,,143,,,74,193,,
1,155.2,142,,,,,143,,,74,193,,
0,156,73,110,,,,122,,,74,193,,
0,157,73,106,,,,135,,,74,193,,
0,158,51,117,176,176,176,,,1,74,193,,
1,158.1,176,,,,,192,,1,74,193,,
1,158.2,176,,,,,,,1,74,193,,
0,159,47,92,,,,105,,,74,193,,
0,160,37,,,,,101,,,74,193,,
0,161,60,102,152,152,152,,,,74,193,,
1,161.1,152,,,,,160,,,74,193,,
1,161.2,152,,,,,163,,,74,193,,
0,162,60,118,,,,188,,,74,193,,
0,163,60,100,149,149,149,,,0.5,74,193,,
1,163.1,149,193,,,,,,1,74,193,,
1,163.2,149,,,,,150,,,74,193,,
0,164,50,90,141,141,141,,,,74,193,,
1,164.1,141,,,,,143,,,74,193,,
1,164.2,141,,,,,145,,,74,193,,
0,165,37,101,152,152,152,,,,74,193,,
1,165.1,152,,,,,153,,,74,193,,
1,165.2,152,,,,,153,,,74,193,,
0,166,22,81,117,117,117,,,1,74,193,,
1,166.1,117,,,,,,,1,74,193,,
1,166.2,117,171,,,,,,1,74,193,,
0,167,68,101,163,163,163,,,,74,193,,
1,167.1,163,,,,,164,,,74,193,,
1,167.2,163,,,,,164,,,74,193,,
0,168,47,85,124,124,124,,,,74,193,,
1,168.1,124,,,,,144,,,74,193,,
1,168.2,124,,,,,144,,,74,193,,
0,169,51,98,116,116,116,,,,74,193,,
1,169.1,116,,,,,126,,,74,193,,
1,169.2,116,,,,,126,,,74,193,,
0,170,51,97,120,120,120,,,,74,193,,
1,170.1,120,,,,,152,,,74,193,,
1,170.2,120,,,,,143,,,74,193,,
0,189,55,90,128,128,128,,,,74,193,,
1,189.1,128,,,,,138,,,74,193,,
1,189.2,128,,,,,140,,,74,193,,
0,193,73,,,,,166,,,74,193,28.8 m,13
0,194,73,,,,,126,,,74,193,,
0,195,70,97,,,,103,,,74,193,,
0,196,23,75,86,86,86,,,,74,193,,
1,196.1,86,,,,,97,,,74,193,,
1,196.2,86,,,,,97,,,74,193,,
0,197,69,101,,,,114,,,74,193,,
0,198,55,95,,,,99,,,74,193,,
0,199,55,,,,,141,,,74,193,,
0,200,64,79,120,120,120,,,,74,193,,
1,200.1,120,,,,,132,,,74,193,,
1,200.2,120,,,,,132,,,74,193,,
0,201,71,,,,,99,,,74,193,,
0,202,67,95,,,,108,,,74,193,,
0,203,74,95,,,,99,,,74,193,,
0,204,74,94,,,,106,,,74,193,,
0,205,69,,,,,92,,,74,193,,
0,206,69,,,,,104,,,74,193,,
