cell cycle,white,green (S/G2),round (M),censoring,
13.00,5.50,6.75,0.75,,V5.1
14.25,5.75,7.75,0.75,,
14.00,6.00,7.25,0.75,,
13.00,5.00,7.25,0.75,,
15.25,7.50,7.00,0.75,,
17.75,8.00,8.75,1.00,,
14.75,7.75,6.25,0.75,,
15.50,7.25,7.50,0.75,,
17.00,6.50,9.75,0.75,,
16.00,6.50,8.75,0.75,,
16.25,9.00,6.50,0.75,,
16.50,8.50,7.25,0.75,,
17.00,7.50,8.75,0.75,,
12.75,6.75,5.25,0.75,,
15.00,6.75,7.50,0.75,,
16.00,6.75,8.25,1.00,,
17.50,7.00,9.75,0.75,,
16.00,7.50,8.00,0.50,,
16.50,7.25,8.25,1.00,,
17.25,7.75,8.25,1.25,,
15.25,6.50,8.00,0.75,,
16.00,7.00,8.25,0.75,,
14.75,6.00,8.00,0.75,,
13.75,6.00,7.00,0.75,,
13.75,6.25,6.75,0.75,,
16.25,7.25,8.00,1.00,,
17.00,6.75,9.50,0.75,,
14.75,6.00,8.25,0.50,,
16.00,6.50,9.00,0.50,,
15.00,5.00,9.50,0.50,,
16.75,6.00,10.25,0.50,,
16.50,7.00,9.00,0.50,,
18.75,7.75,10.25,0.75,,
17.00,6.50,9.75,0.75,,
15.50,6.75,8.25,0.50,,V5.2
14.75,6.25,8.25,0.25,,
13.50,5.75,7.50,0.25,,
13.50,5.75,7.50,0.25,,
15.00,7.25,7.00,0.75,,
15.75,7.75,7.50,0.50,,
13.25,6.00,6.75,0.50,,
14.00,6.00,7.50,0.50,,
16.50,9.00,7.00,0.50,,
16.25,8.25,7.75,0.25,,
14.00,6.50,7.00,0.50,,
16.25,7.00,8.75,0.50,,
16.25,7.50,8.25,0.50,,
16.00,8.25,7.25,0.50,,
12.50,6.00,6.00,0.50,,
14.25,6.25,7.50,0.50,,
13.75,5.75,7.25,0.75,,
14.50,7.00,7.00,0.50,,
16.25,6.50,9.25,0.50,,
15.25,6.50,8.25,0.50,,
14.75,7.00,7.25,0.50,,
15.00,7.00,7.50,0.50,,
14.25,5.25,8.50,0.50,,
15.00,6.00,8.75,0.25,,
16.50,9.00,7.00,0.50,,
16.00,6.50,9.00,0.50,,
14.00,5.50,8.00,0.50,,
14.25,5.50,8.00,0.75,,
16.00,6.25,9.00,0.75,,
15.50,6.75,8.25,0.50,,
14.75,5.25,9.00,0.50,,V5.3
16.00,6.50,8.75,0.75,,
15.00,6.25,8.25,0.50,,
15.75,6.50,8.75,0.50,,
14.50,7.00,7.00,0.50,,
14.00,7.00,6.50,0.50,,
15.75,7.50,7.75,0.50,,
14.50,7.50,6.50,0.50,,
15.00,6.75,7.75,0.50,,
14.25,6.50,7.25,0.50,,
16.75,8.50,7.50,0.75,,
