cell cycle,white,green (S/G2),round (M),censoring,,
15.5,5.75,8.5,1.25,0,,V28.8e_1
21.25,12.5,8.25,0.5,0,,
13.25,3.75,9,0.5,0,,
13.25,3.5,9.25,0.5,0,,
14.75,8,6,0.75,0,,
15,7.25,7.25,0.5,0,,
13,5.25,7.25,0.5,0,,2
13.75,4.25,9,0.5,0,,
13.5,5.25,7.75,0.5,0,,
14,5,8.25,0.75,0,,
12.75,5,7.25,0.5,0,,
13,5.5,7.25,0.25,0,,
15.5,5.25,9.75,0.5,0,,
16.5,7.75,8.25,0.5,0,,
16.25,8.75,7,0.5,0,,3
15.25,5.5,9.25,0.5,0,,
17,6.75,9.75,0.5,0,,
17.75,10.5,6.5,0.75,0,,
15.5,6.75,8,0.75,0,,4
14,6.5,6.25,1.25,0,,
12.5,6.25,5.75,0.5,0,,
13.5,6.75,6.25,0.5,0,,
12.25,3.25,8.5,0.5,0,,5
13.75,3.5,9.5,0.75,0,,
16.25,5.5,10.25,0.5,0,,
16.75,6.75,9.25,0.75,0,,
13.75,5.25,8,0.5,0,,V28.8f_10
15.5,5.25,9.75,0.5,0,,
15.5,7.25,7.75,0.5,0,,
15.5,5.5,9.5,0.5,0,,
14.5,4,10,0.5,0,,V28.8f_10
16.5,4.75,11.25,0.5,0,,
14.5,6,8,0.5,0,,V28.8f_12
14.25,5.75,8.25,0.25,0,,
14,5,8.25,0.75,0,,
16.25,5.25,10.5,0.5,0,,
16,8,7.5,0.5,0,,6
14.25,7,6.5,0.75,0,,
13.75,6.5,6.5,0.75,0,,5
13.75,6.25,6.75,0.75,0,,
15.75,6.25,9,0.5,0,,"28.8d, Scene 1"
14.25,5.5,8,0.75,0,,
15.25,6,8.5,0.75,0,,
15.5,6.5,8.75,0.25,0,,
19.25,5.75,13,0.5,0,,
21.25,8.25,12.5,0.5,0,,
16,5.25,10,0.75,0,,
17,3.75,12,1.25,0,,
23,11.75,10.75,0.5,0,,
20.25,7.75,12,0.5,0,,
16.75,5.75,10.25,0.75,0,,
20.5,5.5,14.25,0.75,0,,
19.5,5.75,12.25,1.5,0,,
21.5,9.25,11.75,0.5,0,,
16.5,4.5,11.5,0.5,0,,
19.75,5,14.25,0.5,0,,
21.25,11,9.5,0.75,0,,
17.75,6.5,10.75,0.5,0,,
19.25,9.25,9.5,0.5,0,,
18.25,6.5,11.25,0.5,0,,
16.5,5.75,10,0.75,0,,"28.8d, Scene 2"
25.25,5.75,19,0.5,0,,
21.25,7.25,13.25,0.75,0,,
17.5,4.5,12.5,0.5,0,,
14.25,5,8.75,0.5,0,,
19.75,6.75,12.25,0.75,0,,
21.75,7.5,11.5,2.75,0,,
23.25,9.5,13,0.75,0,,
,5.75,-17.25,0,36.5,,
18.25,6,11.5,0.75,0,,
18.25,6.75,11,0.5,0,,
16.5,7.25,8.75,0.5,0,,
23.5,8,14.75,0.75,0,,
18.5,7.5,10.5,0.5,0,,
17.5,5.5,11.25,0.75,0,,
22,11,10.5,0.5,0,,
22.75,9.75,12.5,0.5,0,,
18,7,10.25,0.75,0,,
15.25,7.5,7.25,0.5,0,,"28.8d, Scene 3"
17,7.25,9.25,0.5,0,,
14.5,8,6,0.5,0,,
